index,period,minute,second,possession,duration,statsbomb_xg,penalty_taken_at_home,home_score,away_score,match_week,player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction,outcome
112,2,93,23,164,0.6891,0.76,0,2,3,9,9,104,22,0,1,33,95,3,3,28,5,1
113,2,75,18,173,0.8738,0.76,0,0,4,28,9,104,22,0,1,15,29,3,3,19,1,1
114,1,40,42,64,0.7142,0.76,0,2,2,30,9,136,13,1,1,120,96,3,3,30,4,1
115,1,6,24,9,0.562008,0.76,1,6,0,20,9,104,22,0,1,57,7,3,3,5,8,1
116,1,30,15,56,0.4058,0.76,0,0,1,1,9,104,22,0,1,49,7,3,3,56,5,0
117,1,38,53,83,0.5219,0.76,0,6,1,24,18,82,3,1,1,25,11,3,3,5,4,1
118,2,80,58,164,0.038319,0.76,1,6,1,24,9,104,22,0,1,121,16,3,3,5,9,0
119,1,28,30,53,0.7586,0.76,1,4,0,18,9,104,3,0,1,45,32,3,3,5,5,1
120,1,44,34,76,0.694748,0.76,1,4,2,28,9,104,22,0,1,33,95,3,3,5,2,1
121,1,48,17,111,0.43568,0.76,,,,,54,41,22,1,1,16,97,7,6,75,5,0
122,2,60,29,137,0.3713,0.76,1,4,1,4,9,104,0,0,1,114,49,3,3,5,9,1
123,2,75,0,163,0.4734,0.76,1,4,1,4,9,104,0,0,1,114,49,3,3,5,9,0
124,1,10,20,25,0.3992,0.76,1,6,0,29,9,104,22,0,1,134,36,3,3,5,8,0
125,1,9,25,22,0.433768,0.76,0,2,0,32,79,31,19,1,1,25,11,3,3,5,5,0
126,2,53,14,97,0.3087,0.76,1,2,3,22,9,104,3,0,1,33,95,3,3,5,9,1
127,2,68,10,145,0.2689,0.76,0,1,5,27,9,107,3,1,1,78,70,3,3,29,0,0
128,2,57,41,104,0.524936,0.76,1,2,4,11,47,167,18,1,1,135,11,3,3,36,2,1
129,2,64,57,121,0.513131,0.76,1,5,0,23,9,104,22,0,1,35,49,3,3,5,8,1
130,1,41,12,99,0.441811,0.76,0,0,5,4,9,104,3,0,1,72,49,3,3,13,9,0
131,2,54,7,107,0.824049,0.76,0,0,6,20,9,104,3,0,1,107,30,3,3,16,5,1
132,2,61,29,106,0.5123,0.76,0,1,3,16,9,107,3,1,1,63,86,3,3,17,3,0
133,2,91,35,206,0.5297,0.76,1,1,4,13,62,87,0,1,1,135,11,3,3,12,4,1
134,2,55,51,144,0.4369,0.76,1,6,1,26,9,104,22,0,1,27,70,3,3,5,8,1
135,2,80,10,181,0.5696,0.76,0,6,1,26,60,2,19,1,1,25,11,3,3,5,9,1
136,2,81,16,164,0.8608,0.76,1,4,1,36,9,104,22,0,1,7,96,3,3,5,9,1
137,1,30,56,40,0.5127,0.76,0,0,2,27,9,104,22,0,1,65,29,3,3,19,7,1
138,1,33,23,75,0.578,0.76,1,3,1,9,63,29,9,1,1,25,11,3,3,24,8,1
139,2,66,41,119,0.3592,0.76,1,7,1,34,9,78,17,1,1,117,64,3,3,5,9,1
140,2,54,27,108,0.460401,0.76,0,1,5,4,9,104,22,0,1,73,47,3,3,18,9,1
141,1,28,58,60,0.7486,0.76,1,4,0,17,9,136,13,1,1,12,72,3,3,5,9,0
142,2,52,18,101,0.4134,0.76,1,1,3,25,37,58,11,1,1,25,11,3,3,21,7,1
143,1,14,2,27,0.4961,0.76,1,3,1,32,9,104,3,0,1,12,72,3,3,5,2,1
144,2,85,14,186,0.485,0.76,1,3,1,32,9,104,3,0,1,12,72,3,3,5,6,0
145,2,69,36,146,0.306841,0.76,1,4,2,38,9,104,22,0,1,138,29,3,3,5,0,0
146,2,74,55,154,0.983396,0.76,1,4,2,38,9,104,19,0,1,138,29,3,3,5,7,1
147,2,89,12,171,0.696,0.76,1,2,1,23,9,104,22,0,1,57,47,3,3,5,4,1
148,2,66,1,132,0.4728,0.76,1,2,1,6,9,136,13,1,1,69,45,3,3,5,9,0
149,1,11,37,11,0.352173,0.76,1,2,0,21,79,126,9,1,1,90,11,3,3,28,7,0
150,2,80,32,138,0.517954,0.76,1,1,0,27,9,104,3,0,1,2,74,3,3,5,7,1
151,1,22,32,47,0.400108,0.76,1,4,1,13,9,104,22,0,1,113,16,3,3,5,5,1
152,1,37,33,68,0.427845,0.76,0,3,1,12,9,104,22,0,1,1,49,3,3,13,9,1
153,2,74,23,125,0.458233,0.76,1,4,1,18,9,107,3,1,1,42,26,3,3,5,4,1
154,2,68,58,126,0.673883,0.76,1,2,0,29,9,104,22,0,1,63,47,3,3,5,6,1
155,1,11,23,20,0.467174,0.76,1,2,2,17,65,130,12,0,1,90,11,3,3,49,2,1
156,2,65,21,126,0.508254,0.76,1,2,0,5,37,175,13,1,1,90,11,3,3,21,5,1
157,1,18,4,27,0.548146,0.76,0,2,2,33,6,156,11,0,1,90,11,3,3,5,8,1
158,2,49,2,80,1.037736,0.76,1,2,2,33,9,104,18,0,1,67,8,3,3,5,4,1
159,2,61,45,108,0.567095,0.76,0,2,2,33,6,156,11,0,1,90,11,3,3,5,8,1
160,1,5,41,7,0.44609,0.76,1,2,3,23,62,158,19,0,1,90,11,3,3,12,5,1
161,2,93,58,207,0.740813,0.76,1,2,2,35,75,147,9,1,1,70,4,5,3,75,7,1
162,2,52,34,122,0.428688,0.76,0,0,2,22,3,164,9,1,1,129,6,5,3,75,7,1
163,1,37,22,102,0.575228,0.76,1,4,1,21,3,164,9,1,1,93,56,5,3,75,8,1
164,2,85,3,205,0.756102,0.76,0,4,1,21,51,123,9,1,1,70,4,5,3,75,4,1
165,2,46,45,106,0.490567,0.76,1,2,1,38,3,164,9,1,1,58,48,5,3,75,5,1
166,1,38,56,92,0.3443,0.76,1,1,1,5,3,164,9,1,1,122,67,5,3,75,2,1
167,1,32,20,71,0.833889,0.76,1,5,0,33,3,164,9,1,0,103,46,5,3,75,1,1
168,1,34,19,74,0.716951,0.76,1,2,1,1,3,164,9,1,1,111,33,5,3,75,2,1
169,1,26,45,62,0.855175,0.76,1,1,1,10,19,140,18,1,0,70,4,5,3,75,1,1
170,2,79,11,188,0.930902,0.76,1,3,2,7,3,164,9,1,0,123,59,5,3,75,2,1
171,2,93,5,227,0.35097,0.76,1,0,0,6,49,151,3,1,1,70,4,5,3,75,9,0
172,2,73,41,138,0.553616,0.76,0,0,1,3,14,121,0,0,1,84,41,6,3,75,8,1
173,1,43,38,102,0.854976,0.76,1,3,0,8,9,150,13,1,1,110,64,3,3,5,5,1
174,2,78,40,163,0.514501,0.76,1,2,2,6,9,150,12,1,1,28,76,3,3,5,5,1
175,1,47,1,114,0.48973,0.76,0,1,3,16,9,154,3,1,1,14,23,3,3,23,4,1
176,2,68,36,173,0.5536,0.76,1,2,0,20,9,150,13,1,1,48,26,3,3,5,9,0
177,1,27,22,66,0.521095,0.76,1,3,1,6,9,150,13,1,1,8,80,3,3,5,8,1
178,1,28,49,64,0.436,0.76,0,2,1,25,9,150,3,1,1,8,80,3,3,22,2,0
179,1,12,55,25,0.5832,0.76,0,3,3,26,63,151,3,1,1,135,11,3,3,5,8,1
180,2,93,20,180,0.621672,0.76,0,3,3,3,2,122,12,1,1,85,79,6,3,45,0,1
181,2,91,28,186,0.461,0.76,0,0,3,3,9,150,13,1,1,41,69,3,3,6,8,1
182,1,37,55,81,0.47745,0.76,1,2,1,19,9,150,13,1,1,64,7,3,3,5,8,1
183,2,83,36,189,0.278794,0.76,0,0,2,3,23,56,14,0,1,136,89,6,3,75,9,0
184,2,79,2,182,0.65064,0.76,0,0,2,25,9,150,13,1,1,28,76,3,3,31,8,1
185,1,3,6,5,0.204916,0.76,1,4,1,13,9,150,13,1,1,36,69,3,3,5,2,0
186,2,56,7,107,0.668,0.76,1,4,1,13,9,150,13,1,1,36,69,3,3,5,9,1
187,2,70,28,134,0.4524,0.76,0,4,1,13,59,57,2,1,1,135,11,3,3,5,8,1
188,1,26,45,47,0.855979,0.76,1,3,0,4,35,155,12,0,1,22,61,6,3,75,8,1
189,5,120,0,293,0.851007,0.76,1,1,1,4,55,22,0,1,1,87,10,6,3,75,8,1
190,5,120,49,294,0.916819,0.76,0,1,1,4,8,153,3,1,1,62,63,6,3,75,9,0
191,5,121,33,295,0.559035,0.76,1,1,1,4,55,66,12,0,1,87,10,6,3,75,8,1
192,5,122,23,296,0.798035,0.76,0,1,1,4,8,46,13,1,1,62,63,6,3,75,5,0
193,5,123,8,297,0.809672,0.76,1,1,1,4,55,118,17,1,1,87,10,6,3,75,5,1
194,5,123,48,298,0.714383,0.76,0,1,1,4,8,162,8,0,1,62,63,6,3,75,7,1
195,5,124,31,299,0.638212,0.76,1,1,1,4,55,71,10,1,1,87,10,6,3,75,7,1
196,1,40,46,85,0.964565,0.76,0,5,1,25,44,144,9,1,1,135,11,3,3,5,5,1
197,2,77,42,165,0.828633,0.76,1,4,1,36,63,151,3,1,1,135,11,3,3,24,8,1
198,1,12,58,24,0.521,0.76,1,3,1,8,80,116,10,1,1,135,11,3,3,30,1,1
199,1,34,18,64,0.51757,0.76,1,3,1,8,80,116,10,1,1,135,11,3,3,30,2,1
200,2,61,19,136,0.449849,0.76,1,4,2,26,6,37,9,1,1,135,11,3,3,25,2,1
201,1,5,2,16,0.4634,0.76,1,6,0,35,9,104,22,0,1,130,95,3,3,5,2,1
202,2,79,43,172,0.514303,0.76,1,2,1,4,9,104,3,0,1,8,80,3,3,5,8,1
203,2,71,58,147,0.667221,0.76,1,1,4,6,44,45,11,1,1,135,11,3,3,13,8,1
204,1,25,54,61,0.3311,0.76,0,2,0,22,59,49,8,1,1,135,11,3,3,5,5,0
205,2,80,28,181,0.4354,0.76,1,2,0,9,9,104,13,0,1,30,1,3,3,5,1,1
206,1,30,3,61,0.677,0.76,0,1,0,30,47,85,13,1,1,135,11,3,3,5,2,0
207,1,6,6,12,0.4963,0.76,0,1,2,4,78,127,13,1,1,118,85,6,4,59,5,1
208,2,75,36,138,0.4589,0.76,0,1,2,4,78,127,13,1,1,118,85,6,4,59,5,1
209,1,4,53,10,0.62427,0.76,1,1,1,34,9,150,13,1,1,105,72,3,3,5,9,1
210,2,68,27,138,0.447,0.76,0,1,0,4,17,77,16,1,1,116,87,6,4,45,5,0
211,2,80,9,166,0.559343,0.76,1,2,0,11,9,150,13,1,1,43,57,3,3,5,9,1
212,1,34,15,78,0.668541,0.76,1,3,1,2,9,150,13,1,1,49,7,3,3,5,5,1
213,1,40,6,101,0.466125,0.76,1,2,1,15,9,150,13,1,1,52,27,3,3,5,8,1
214,1,39,31,103,0.241005,0.76,0,1,1,9,9,150,13,1,1,36,27,3,3,11,8,1
215,2,72,18,167,0.3156,0.76,1,1,1,9,28,50,20,1,1,135,11,3,3,11,8,0
216,1,42,34,95,0.5442,0.76,1,1,2,24,66,36,18,1,1,135,11,3,3,31,9,0
217,2,82,56,180,0.634119,0.76,0,1,2,24,9,150,13,1,1,28,76,3,3,31,7,1
218,2,86,6,171,0.4394,0.76,1,5,0,19,9,154,3,1,1,77,27,3,3,5,4,1
219,2,81,0,167,0.38094,0.76,1,3,0,13,9,104,22,0,1,125,77,3,3,5,5,1
220,2,78,57,191,0.4085,0.76,1,4,3,25,6,37,9,1,1,135,11,3,3,25,3,1
221,2,80,39,168,0.6008,0.76,1,3,5,38,64,75,9,0,1,76,11,3,3,15,9,1
222,2,89,22,172,0.554011,0.76,1,2,1,4,52,103,13,1,1,18,43,6,4,51,8,1
223,1,47,27,95,0.4846,0.76,0,2,2,23,9,154,3,1,1,108,72,3,3,12,5,0
224,2,82,57,157,0.250057,0.76,0,0,3,5,31,138,21,1,1,62,63,6,3,60,4,0
225,2,55,3,122,0.4689,0.76,1,1,2,21,59,139,3,1,1,135,11,3,3,6,5,1
226,2,98,6,193,0.9297,0.76,0,1,2,5,9,104,22,0,1,59,32,3,3,10,8,1
227,1,5,7,13,0.8091,0.76,1,6,1,6,9,154,3,1,1,51,8,3,3,5,5,1
228,2,70,36,165,0.668727,0.76,1,1,1,2,9,104,22,0,1,13,69,3,3,5,5,1
229,1,31,2,56,0.5378,0.76,1,2,0,26,9,104,22,0,1,49,7,3,3,5,4,1
230,2,77,18,167,0.5308,0.76,0,3,3,35,80,125,0,1,1,135,11,3,3,5,9,1
231,2,80,51,172,0.4727,0.76,1,2,0,30,9,104,22,0,1,15,77,3,3,5,5,0
232,2,69,39,153,0.3422,0.76,1,2,0,15,9,154,3,1,1,61,73,3,3,5,8,0
233,2,90,36,208,0.5413,0.76,0,2,4,27,9,174,3,1,1,112,76,3,3,31,5,1
234,2,93,1,219,0.614436,0.76,0,2,1,21,36,148,18,1,1,135,11,3,3,5,2,1
235,2,52,4,139,0.5837,0.76,0,1,1,32,9,104,3,0,1,61,73,3,3,24,1,1
236,2,81,39,186,0.675419,0.76,1,1,1,32,63,29,13,1,1,135,11,3,3,24,6,1
237,2,81,29,135,0.7133,0.76,1,2,1,34,65,170,22,1,1,76,11,3,3,49,1,1
238,2,86,57,194,0.7027,0.76,1,4,2,10,9,104,22,0,1,36,52,3,3,5,9,1
239,2,83,10,156,0.5271,0.76,1,1,2,6,31,163,17,1,1,5,93,6,5,34,5,0
