player_team_name,player_name,player_position,foot,technique,keeper_name,keeper_team_name,competition_name,competition_stage,stadium,direction
Barcelona,Neymar da Silva Santos Junior,Left Wing,Right Foot,Normal,Iván Cuéllar Sacristán,Sporting Gijón,La Liga,Regular Season,Camp Nou,CL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Lob,Vicente Guaita Panadero,Getafe,La Liga,Regular Season,Camp Nou,CH
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Diego Alves Carreira,Valencia,La Liga,Regular Season,Estadio de Mestalla,LL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Asier Riesgo Unamuno,Eibar,La Liga,Regular Season,Estadio Municipal de Ipurúa,CH
Barcelona,Neymar da Silva Santos Junior,Left Wing,Right Foot,Normal,Sergio Asenjo Andrés,Villarreal,La Liga,Regular Season,Estadio de la Cerámica,LH
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Iago Herrerín Buisán,Athletic Bilbao,La Liga,Regular Season,Camp Nou,RL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Gorka Iraizoz Moreno,Athletic Bilbao,La Liga,Regular Season,San Mamés Barria,LL
Celta Vigo,John Guidetti,Center Forward,Right Foot,Normal,Claudio Andrés Bravo Muñoz,Barcelona,La Liga,Regular Season,Camp Nou,LH
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Sergio Álvarez Conde,Celta Vigo,La Liga,Regular Season,Camp Nou,
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Francisco Casilla Cortés,Espanyol,La Liga,Regular Season,Camp Nou,LL
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Diego Alves Carreira,Valencia,La Liga,Regular Season,Camp Nou,CL
North Carolina Courage,Débora Cristiane de Oliveira,Right Wing,Right Foot,Normal,Aubrey Bledsoe,Washington Spirit,,,,LL
Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,Left Foot,Normal,Rubén Iván Martínez Andrade,Levante,La Liga,Regular Season,Camp Nou,
Barcelona,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,Left Foot,Normal,Rubén Iván Martínez Andrade,Levante,La Liga,Regular Season,Camp Nou,
Barcelona,Lionel Andrés Messi Cuccittini,Right Wing,Left Foot,Normal,Vicente Guaita Panadero,Getafe,La Liga,Regular Season,Camp Nou,RL
Valencia,Daniel Parejo Muñoz,Right Center Midfield,Right Foot,Normal,Claudio Andrés Bravo Muñoz,Barcelona,La Liga,Regular Season,Camp Nou,LL
Barcelona,Lionel Andrés Messi Cuccittini,Center Forward,Left Foot,Normal,Diego Alves Carreira,Valencia,La Liga,Regular Season,Camp Nou,
Barcelona,Luis Alberto Suárez Díaz,Center Forward,Right Foot,Normal,Juan Carlos Martín Corral,Rayo Vallecano,La Liga,Regular Season,Estadio de Vallecas,CC
